车次,日期.y,车站.y,实际到达.y,实际出发.y,图定到达.y,图定出发.y,轨道.y
G1108,2015-03-24,英德西,2015-3-24 7:19,2015-3-24 7:19,2015-3-24 7:20,2015-3-24 7:20,II道
G1120,2015-03-24,英德西,2015-3-24 7:25,2015-3-24 7:25,2015-3-24 7:26,2015-3-24 7:26,II道
G836,2015-03-24,英德西,2015-3-24 7:32,2015-3-24 7:32,2015-3-24 7:33,2015-3-24 7:33,II道
G1002,2015-03-24,英德西,2015-3-24 7:38,2015-3-24 7:38,2015-3-24 7:39,2015-3-24 7:39,II道
G1132,2015-03-24,英德西,2015-3-24 7:49,2015-3-24 7:49,2015-3-24 7:51,2015-3-24 7:51,II道
G94,2015-03-24,英德西,2015-3-24 7:56,2015-3-24 7:56,2015-3-24 7:56,2015-3-24 7:56,II道
G1118,2015-03-24,英德西,2015-3-24 8:03,2015-3-24 8:03,2015-3-24 8:06,2015-3-24 8:06,II道
G546,2015-03-24,英德西,2015-3-24 8:13,2015-3-24 8:13,2015-3-24 8:13,2015-3-24 8:13,II道
G1136,2015-03-24,英德西,2015-3-24 8:16,2015-3-24 8:16,2015-3-24 8:19,2015-3-24 8:19,II道
G74,2015-03-24,英德西,2015-3-24 8:24,2015-3-24 8:24,2015-3-24 8:26,2015-3-24 8:26,II道
G6002,2015-03-24,英德西,2015-3-24 8:33,2015-3-24 8:33,2015-3-24 8:33,2015-3-24 8:33,II道
G548,2015-03-24,英德西,2015-3-24 8:42,2015-3-24 8:42,2015-3-24 8:38,2015-3-24 8:38,II道
G6116,2015-03-24,英德西,2015-3-24 8:55,2015-3-24 8:55,2015-3-24 8:51,2015-3-24 8:51,II道
G818,2015-03-24,英德西,2015-3-24 9:04,2015-3-24 9:04,2015-3-24 9:04,2015-3-24 9:04,II道
G1106,2015-03-24,英德西,2015-3-24 9:07,2015-3-24 9:07,2015-3-24 9:08,2015-3-24 9:08,II道
G6022,2015-03-24,英德西,2015-3-24 9:15,2015-3-24 9:16,2015-3-24 9:17,2015-3-24 9:19,4道
G1306,2015-03-24,英德西,2015-3-24 9:27,2015-3-24 9:27,2015-3-24 9:28,2015-3-24 9:28,II道
G1104,2015-03-24,英德西,2015-3-24 9:31,2015-3-24 9:31,2015-3-24 9:34,2015-3-24 9:34,II道
G76,2015-03-24,英德西,2015-3-24 9:38,2015-3-24 9:38,2015-3-24 9:40,2015-3-24 9:40,II道
G632,2015-03-24,英德西,2015-3-24 9:47,2015-3-24 9:47,2015-3-24 9:48,2015-3-24 9:48,II道
G1406,2015-03-24,英德西,2015-3-24 9:54,2015-3-24 9:55,2015-3-24 9:56,2015-3-24 9:58,4道
G532,2015-03-24,英德西,2015-3-24 10:04,2015-3-24 10:04,2015-3-24 10:06,2015-3-24 10:06,II道
G6118,2015-03-24,英德西,2015-3-24 10:11,2015-3-24 10:11,2015-3-24 10:12,2015-3-24 10:12,II道
G832,2015-03-24,英德西,2015-3-24 10:21,2015-3-24 10:22,2015-3-24 10:22,2015-3-24 10:24,4道
G1404,2015-03-24,英德西,2015-3-24 10:33,2015-3-24 10:33,2015-3-24 10:33,2015-3-24 10:33,II道
G552,2015-03-24,英德西,2015-3-24 10:38,2015-3-24 10:38,2015-3-24 10:38,2015-3-24 10:38,II道
G276,2015-03-24,英德西,2015-3-24 10:46,2015-3-24 10:46,2015-3-24 10:45,2015-3-24 10:45,II道
G1110,2015-03-24,英德西,2015-3-24 10:53,2015-3-24 10:55,2015-3-24 10:52,2015-3-24 10:54,4道
G1032,2015-03-24,英德西,2015-3-24 11:00,2015-3-24 11:00,2015-3-24 11:03,2015-3-24 11:03,II道
G6122,2015-03-24,英德西,2015-3-24 11:06,2015-3-24 11:06,2015-3-24 11:08,2015-3-24 11:08,II道
G544,2015-03-24,英德西,2015-3-24 11:15,2015-3-24 11:15,2015-3-24 11:13,2015-3-24 11:13,II道
G1018,2015-03-24,英德西,2015-3-24 11:30,2015-3-24 11:30,2015-3-24 11:25,2015-3-24 11:25,II道
G1014,2015-03-24,英德西,2015-3-24 11:33,2015-3-24 11:33,2015-3-24 11:30,2015-3-24 11:30,II道
G636,2015-03-24,英德西,2015-3-24 11:40,2015-3-24 11:41,2015-3-24 11:38,2015-3-24 11:40,4道
G6012,2015-03-24,英德西,2015-3-24 11:47,2015-3-24 11:47,2015-3-24 11:48,2015-3-24 11:48,II道
G6026,2015-03-24,英德西,2015-3-24 11:55,2015-3-24 11:55,2015-3-24 11:56,2015-3-24 11:56,II道
G1128,2015-03-24,英德西,2015-3-24 12:02,2015-3-24 12:02,2015-3-24 12:03,2015-3-24 12:03,II道
G6014,2015-03-24,英德西,2015-3-24 12:21,2015-3-24 12:21,2015-3-24 12:21,2015-3-24 12:21,II道
G682,2015-03-24,英德西,2015-3-24 12:27,2015-3-24 12:27,2015-3-24 12:27,2015-3-24 12:27,II道
G638,2015-03-24,英德西,2015-3-24 12:31,2015-3-24 12:31,2015-3-24 12:33,2015-3-24 12:33,II道
G826,2015-03-24,英德西,2015-3-24 12:40,2015-3-24 12:42,2015-3-24 12:41,2015-3-24 12:43,4道
G86,2015-03-24,英德西,2015-3-24 12:48,2015-3-24 12:48,2015-3-24 12:50,2015-3-24 12:50,II道
G1126,2015-03-24,英德西,2015-3-24 12:58,2015-3-24 12:58,2015-3-24 12:57,2015-3-24 12:57,II道
G1130,2015-03-24,英德西,2015-3-24 13:02,2015-3-24 13:02,2015-3-24 13:03,2015-3-24 13:03,II道
G1114,2015-03-24,英德西,2015-3-24 13:15,2015-3-24 13:15,2015-3-24 13:15,2015-3-24 13:15,II道
G1006,2015-03-24,英德西,2015-3-24 13:22,2015-3-24 13:22,2015-3-24 13:23,2015-3-24 13:23,II道
G1138,2015-03-24,英德西,2015-3-24 13:33,2015-3-24 13:34,2015-3-24 13:34,2015-3-24 13:36,4道
G1304,2015-03-24,英德西,2015-3-24 13:43,2015-3-24 13:43,2015-3-24 13:44,2015-3-24 13:44,II道
G634,2015-03-24,英德西,2015-3-24 13:48,2015-3-24 13:48,2015-3-24 13:50,2015-3-24 13:50,II道
G1004,2015-03-24,英德西,2015-3-24 13:56,2015-3-24 13:56,2015-3-24 13:56,2015-3-24 13:56,II道
G6110,2015-03-24,英德西,2015-3-24 14:01,2015-3-24 14:01,2015-3-24 14:02,2015-3-24 14:02,II道
G6142,2015-03-24,英德西,2015-3-24 14:08,2015-3-24 14:08,2015-3-24 14:08,2015-3-24 14:08,II道
G1016,2015-03-24,英德西,2015-3-24 14:22,2015-3-24 14:22,2015-3-24 14:24,2015-3-24 14:24,II道
G6020,2015-03-24,英德西,2015-3-24 14:31,2015-3-24 14:32,2015-3-24 14:32,2015-3-24 14:34,4道
G1022,2015-03-24,英德西,2015-3-24 14:41,2015-3-24 14:41,2015-3-24 14:42,2015-3-24 14:42,II道
G280,2015-03-24,英德西,2015-3-24 14:46,2015-3-24 14:46,2015-3-24 14:47,2015-3-24 14:47,II道
G1302,2015-03-24,英德西,2015-3-24 15:06,2015-3-24 15:06,2015-3-24 15:07,2015-3-24 15:07,II道
G840,2015-03-24,英德西,2015-3-24 15:11,2015-3-24 15:11,2015-3-24 15:12,2015-3-24 15:12,II道
G6114,2015-03-24,英德西,2015-3-24 15:26,2015-3-24 15:26,2015-3-24 15:26,2015-3-24 15:26,II道
G1402,2015-03-24,英德西,2015-3-24 15:32,2015-3-24 15:33,2015-3-24 15:33,2015-3-24 15:35,4道
G6018,2015-03-24,英德西,2015-3-24 15:43,2015-3-24 15:43,2015-3-24 15:44,2015-3-24 15:44,II道
G1010,2015-03-24,英德西,2015-3-24 15:53,2015-3-24 15:53,2015-3-24 15:52,2015-3-24 15:52,II道
G78,2015-03-24,英德西,2015-3-24 15:58,2015-3-24 15:58,2015-3-24 15:59,2015-3-24 15:59,II道
G1134,2015-03-24,英德西,2015-3-24 16:04,2015-3-24 16:04,2015-3-24 16:06,2015-3-24 16:06,II道
G6102,2015-03-24,英德西,2015-3-24 16:11,2015-3-24 16:11,2015-3-24 16:12,2015-3-24 16:12,II道
G6028,2015-03-24,英德西,2015-3-24 16:24,2015-3-24 16:24,2015-3-24 16:19,2015-3-24 16:19,II道
G1020,2015-03-24,英德西,2015-3-24 16:35,2015-3-24 16:35,2015-3-24 16:33,2015-3-24 16:33,II道
G72,2015-03-24,英德西,2015-3-24 16:39,2015-3-24 16:39,2015-3-24 16:38,2015-3-24 16:38,II道
G1112,2015-03-24,英德西,2015-3-24 16:45,2015-3-24 16:47,2015-3-24 16:48,2015-3-24 16:50,4道
G1012,2015-03-24,英德西,2015-3-24 17:02,2015-3-24 17:02,2015-3-24 17:03,2015-3-24 17:03,II道
G6104,2015-03-24,英德西,2015-3-24 17:07,2015-3-24 17:07,2015-3-24 17:08,2015-3-24 17:08,II道
G6152,2015-03-24,英德西,2015-3-24 17:21,2015-3-24 17:23,2015-3-24 17:23,2015-3-24 17:25,4道
G68,2015-03-24,英德西,2015-3-24 17:31,2015-3-24 17:31,2015-3-24 17:32,2015-3-24 17:32,II道
G1122,2015-03-24,英德西,2015-3-24 17:39,2015-3-24 17:40,2015-3-24 17:41,2015-3-24 17:43,4道
G6024,2015-03-24,英德西,2015-3-24 17:51,2015-3-24 17:51,2015-3-24 17:52,2015-3-24 17:52,II道
G1102,2015-03-24,英德西,2015-3-24 18:01,2015-3-24 18:01,2015-3-24 18:03,2015-3-24 18:03,II道
G1140,2015-03-24,英德西,2015-3-24 18:20,2015-3-24 18:20,2015-3-24 18:20,2015-3-24 18:20,II道
G6016,2015-03-24,英德西,2015-3-24 18:24,2015-3-24 18:24,2015-3-24 18:26,2015-3-24 18:26,II道
G6132,2015-03-24,英德西,2015-3-24 18:36,2015-3-24 18:36,2015-3-24 18:37,2015-3-24 18:37,II道
G822,2015-03-24,英德西,2015-3-24 18:42,2015-3-24 18:42,2015-3-24 18:43,2015-3-24 18:43,II道
G6120,2015-03-24,英德西,2015-3-24 18:49,2015-3-24 18:49,2015-3-24 18:50,2015-3-24 18:50,II道
G96,2015-03-24,英德西,2015-3-24 19:09,2015-3-24 19:09,2015-3-24 19:10,2015-3-24 19:10,II道
G6108,2015-03-24,英德西,2015-3-24 19:33,2015-3-24 19:33,2015-3-24 19:33,2015-3-24 19:33,II道
G554,2015-03-24,英德西,2015-3-24 19:46,2015-3-24 19:46,2015-3-24 19:46,2015-3-24 19:46,II道
G66,2015-03-24,英德西,2015-3-24 19:51,2015-3-24 19:51,2015-3-24 19:53,2015-3-24 19:53,II道
G542,2015-03-24,英德西,2015-3-24 20:20,2015-3-24 20:20,2015-3-24 20:21,2015-3-24 20:21,II道
G6106,2015-03-24,英德西,2015-3-24 20:26,2015-3-24 20:26,2015-3-24 20:27,2015-3-24 20:27,II道
G70,2015-03-24,英德西,2015-3-24 21:17,2015-3-24 21:18,2015-3-24 21:16,2015-3-24 21:18,4道
G80,2015-03-24,英德西,2015-3-24 21:26,2015-3-24 21:26,2015-3-24 21:26,2015-3-24 21:26,II道
G1008,2015-03-24,英德西,2015-3-24 21:32,2015-3-24 21:32,2015-3-24 21:33,2015-3-24 21:33,II道
G1108,2015-03-25,英德西,2015-3-25 7:19,2015-3-25 7:19,2015-3-25 7:20,2015-3-25 7:20,II道
G1120,2015-03-25,英德西,2015-3-25 7:25,2015-3-25 7:25,2015-3-25 7:26,2015-3-25 7:26,II道
G836,2015-03-25,英德西,2015-3-25 7:32,2015-3-25 7:32,2015-3-25 7:33,2015-3-25 7:33,II道
G1002,2015-03-25,英德西,2015-3-25 7:39,2015-3-25 7:39,2015-3-25 7:39,2015-3-25 7:39,II道
G1132,2015-03-25,英德西,2015-3-25 7:49,2015-3-25 7:49,2015-3-25 7:51,2015-3-25 7:51,II道
G94,2015-03-25,英德西,2015-3-25 7:55,2015-3-25 7:55,2015-3-25 7:56,2015-3-25 7:56,II道
G1118,2015-03-25,英德西,2015-3-25 8:03,2015-3-25 8:03,2015-3-25 8:06,2015-3-25 8:06,II道
G546,2015-03-25,英德西,2015-3-25 8:11,2015-3-25 8:11,2015-3-25 8:13,2015-3-25 8:13,II道
G1136,2015-03-25,英德西,2015-3-25 8:17,2015-3-25 8:17,2015-3-25 8:19,2015-3-25 8:19,II道
G74,2015-03-25,英德西,2015-3-25 8:24,2015-3-25 8:24,2015-3-25 8:26,2015-3-25 8:26,II道
G6002,2015-03-25,英德西,2015-3-25 8:33,2015-3-25 8:33,2015-3-25 8:33,2015-3-25 8:33,II道
G548,2015-03-25,英德西,2015-3-25 8:38,2015-3-25 8:38,2015-3-25 8:38,2015-3-25 8:38,II道
G6116,2015-03-25,英德西,2015-3-25 8:51,2015-3-25 8:51,2015-3-25 8:51,2015-3-25 8:51,II道
G818,2015-03-25,英德西,2015-3-25 9:04,2015-3-25 9:04,2015-3-25 9:04,2015-3-25 9:04,II道
G1106,2015-03-25,英德西,2015-3-25 9:09,2015-3-25 9:09,2015-3-25 9:08,2015-3-25 9:08,II道
G6022,2015-03-25,英德西,2015-3-25 9:16,2015-3-25 9:18,2015-3-25 9:17,2015-3-25 9:19,4道
G1306,2015-03-25,英德西,2015-3-25 9:27,2015-3-25 9:27,2015-3-25 9:28,2015-3-25 9:28,II道
G1104,2015-03-25,英德西,2015-3-25 9:32,2015-3-25 9:32,2015-3-25 9:34,2015-3-25 9:34,II道
G76,2015-03-25,英德西,2015-3-25 9:38,2015-3-25 9:38,2015-3-25 9:40,2015-3-25 9:40,II道
G632,2015-03-25,英德西,2015-3-25 9:46,2015-3-25 9:46,2015-3-25 9:48,2015-3-25 9:48,II道
G1406,2015-03-25,英德西,2015-3-25 9:55,2015-3-25 9:56,2015-3-25 9:56,2015-3-25 9:58,4道
G532,2015-03-25,英德西,2015-3-25 10:04,2015-3-25 10:04,2015-3-25 10:06,2015-3-25 10:06,II道
G6118,2015-03-25,英德西,2015-3-25 10:12,2015-3-25 10:12,2015-3-25 10:12,2015-3-25 10:12,II道
G832,2015-03-25,英德西,2015-3-25 10:21,2015-3-25 10:22,2015-3-25 10:22,2015-3-25 10:24,4道
G1404,2015-03-25,英德西,2015-3-25 10:31,2015-3-25 10:31,2015-3-25 10:33,2015-3-25 10:33,II道
G552,2015-03-25,英德西,2015-3-25 10:35,2015-3-25 10:35,2015-3-25 10:38,2015-3-25 10:38,II道
G276,2015-03-25,英德西,2015-3-25 10:45,2015-3-25 10:45,2015-3-25 10:45,2015-3-25 10:45,II道
G1110,2015-03-25,英德西,2015-3-25 10:52,2015-3-25 10:54,2015-3-25 10:52,2015-3-25 10:54,4道
G1032,2015-03-25,英德西,2015-3-25 11:02,2015-3-25 11:02,2015-3-25 11:03,2015-3-25 11:03,II道
G6122,2015-03-25,英德西,2015-3-25 11:06,2015-3-25 11:06,2015-3-25 11:08,2015-3-25 11:08,II道
G544,2015-03-25,英德西,2015-3-25 11:11,2015-3-25 11:11,2015-3-25 11:13,2015-3-25 11:13,II道
G1018,2015-03-25,英德西,2015-3-25 11:25,2015-3-25 11:25,2015-3-25 11:25,2015-3-25 11:25,II道
G1014,2015-03-25,英德西,2015-3-25 11:29,2015-3-25 11:29,2015-3-25 11:30,2015-3-25 11:30,II道
G636,2015-03-25,英德西,2015-3-25 11:36,2015-3-25 11:39,2015-3-25 11:38,2015-3-25 11:40,4道
G6012,2015-03-25,英德西,2015-3-25 11:46,2015-3-25 11:46,2015-3-25 11:48,2015-3-25 11:48,II道
G6026,2015-03-25,英德西,2015-3-25 11:55,2015-3-25 11:55,2015-3-25 11:56,2015-3-25 11:56,II道
G1128,2015-03-25,英德西,2015-3-25 12:02,2015-3-25 12:02,2015-3-25 12:03,2015-3-25 12:03,II道
G6014,2015-03-25,英德西,2015-3-25 12:21,2015-3-25 12:21,2015-3-25 12:21,2015-3-25 12:21,II道
G682,2015-03-25,英德西,2015-3-25 12:27,2015-3-25 12:27,2015-3-25 12:27,2015-3-25 12:27,II道
G638,2015-03-25,英德西,2015-3-25 12:31,2015-3-25 12:31,2015-3-25 12:33,2015-3-25 12:33,II道
G826,2015-03-25,英德西,2015-3-25 12:39,2015-3-25 12:41,2015-3-25 12:41,2015-3-25 12:43,4道
G86,2015-03-25,英德西,2015-3-25 12:49,2015-3-25 12:49,2015-3-25 12:50,2015-3-25 12:50,II道
G1126,2015-03-25,英德西,2015-3-25 12:56,2015-3-25 12:56,2015-3-25 12:57,2015-3-25 12:57,II道
G1130,2015-03-25,英德西,2015-3-25 13:01,2015-3-25 13:01,2015-3-25 13:03,2015-3-25 13:03,II道
G1114,2015-03-25,英德西,2015-3-25 13:14,2015-3-25 13:14,2015-3-25 13:15,2015-3-25 13:15,II道
G1006,2015-03-25,英德西,2015-3-25 13:22,2015-3-25 13:22,2015-3-25 13:23,2015-3-25 13:23,II道
G1138,2015-03-25,英德西,2015-3-25 13:33,2015-3-25 13:35,2015-3-25 13:34,2015-3-25 13:36,4道
G1304,2015-03-25,英德西,2015-3-25 13:43,2015-3-25 13:43,2015-3-25 13:44,2015-3-25 13:44,II道
G634,2015-03-25,英德西,2015-3-25 13:49,2015-3-25 13:49,2015-3-25 13:50,2015-3-25 13:50,II道
G1004,2015-03-25,英德西,2015-3-25 13:55,2015-3-25 13:55,2015-3-25 13:56,2015-3-25 13:56,II道
G6110,2015-03-25,英德西,2015-3-25 14:01,2015-3-25 14:01,2015-3-25 14:02,2015-3-25 14:02,II道
G6142,2015-03-25,英德西,2015-3-25 14:07,2015-3-25 14:07,2015-3-25 14:08,2015-3-25 14:08,II道
G1016,2015-03-25,英德西,2015-3-25 14:21,2015-3-25 14:21,2015-3-25 14:24,2015-3-25 14:24,II道
G6020,2015-03-25,英德西,2015-3-25 14:31,2015-3-25 14:33,2015-3-25 14:32,2015-3-25 14:34,4道
G1022,2015-03-25,英德西,2015-3-25 14:41,2015-3-25 14:41,2015-3-25 14:42,2015-3-25 14:42,II道
G280,2015-03-25,英德西,2015-3-25 14:47,2015-3-25 14:47,2015-3-25 14:47,2015-3-25 14:47,II道
G1302,2015-03-25,英德西,2015-3-25 15:05,2015-3-25 15:05,2015-3-25 15:07,2015-3-25 15:07,II道
G840,2015-03-25,英德西,2015-3-25 15:10,2015-3-25 15:10,2015-3-25 15:12,2015-3-25 15:12,II道
G6114,2015-03-25,英德西,2015-3-25 15:24,2015-3-25 15:24,2015-3-25 15:26,2015-3-25 15:26,II道
G1402,2015-03-25,英德西,2015-3-25 15:33,2015-3-25 15:34,2015-3-25 15:33,2015-3-25 15:35,4道
G6018,2015-03-25,英德西,2015-3-25 15:43,2015-3-25 15:43,2015-3-25 15:44,2015-3-25 15:44,II道
G1010,2015-03-25,英德西,2015-3-25 15:51,2015-3-25 15:51,2015-3-25 15:52,2015-3-25 15:52,II道
G78,2015-03-25,英德西,2015-3-25 15:59,2015-3-25 15:59,2015-3-25 15:59,2015-3-25 15:59,II道
G1134,2015-03-25,英德西,2015-3-25 16:05,2015-3-25 16:05,2015-3-25 16:06,2015-3-25 16:06,II道
G6102,2015-03-25,英德西,2015-3-25 16:10,2015-3-25 16:10,2015-3-25 16:12,2015-3-25 16:12,II道
G6028,2015-03-25,英德西,2015-3-25 16:20,2015-3-25 16:20,2015-3-25 16:19,2015-3-25 16:19,II道
G1020,2015-03-25,英德西,2015-3-25 16:32,2015-3-25 16:32,2015-3-25 16:33,2015-3-25 16:33,II道
G72,2015-03-25,英德西,2015-3-25 16:37,2015-3-25 16:37,2015-3-25 16:38,2015-3-25 16:38,II道
G1112,2015-03-25,英德西,2015-3-25 16:46,2015-3-25 16:49,2015-3-25 16:48,2015-3-25 16:50,4道
G1012,2015-03-25,英德西,2015-3-25 17:02,2015-3-25 17:02,2015-3-25 17:03,2015-3-25 17:03,II道
G6104,2015-03-25,英德西,2015-3-25 17:07,2015-3-25 17:07,2015-3-25 17:08,2015-3-25 17:08,II道
G6152,2015-03-25,英德西,2015-3-25 17:21,2015-3-25 17:23,2015-3-25 17:23,2015-3-25 17:25,4道
G68,2015-03-25,英德西,2015-3-25 17:30,2015-3-25 17:30,2015-3-25 17:32,2015-3-25 17:32,II道
G1122,2015-03-25,英德西,2015-3-25 17:39,2015-3-25 17:40,2015-3-25 17:41,2015-3-25 17:43,4道
G6024,2015-03-25,英德西,2015-3-25 17:49,2015-3-25 17:49,2015-3-25 17:52,2015-3-25 17:52,II道
G1102,2015-03-25,英德西,2015-3-25 18:01,2015-3-25 18:01,2015-3-25 18:03,2015-3-25 18:03,II道
G1140,2015-03-25,英德西,2015-3-25 18:18,2015-3-25 18:18,2015-3-25 18:20,2015-3-25 18:20,II道
G6016,2015-03-25,英德西,2015-3-25 18:25,2015-3-25 18:25,2015-3-25 18:26,2015-3-25 18:26,II道
G6132,2015-03-25,英德西,2015-3-25 18:35,2015-3-25 18:35,2015-3-25 18:37,2015-3-25 18:37,II道
G822,2015-03-25,英德西,2015-3-25 18:41,2015-3-25 18:41,2015-3-25 18:43,2015-3-25 18:43,II道
G6120,2015-03-25,英德西,2015-3-25 18:48,2015-3-25 18:48,2015-3-25 18:50,2015-3-25 18:50,II道
G96,2015-03-25,英德西,2015-3-25 19:08,2015-3-25 19:08,2015-3-25 19:10,2015-3-25 19:10,II道
G6108,2015-03-25,英德西,2015-3-25 19:35,2015-3-25 19:35,2015-3-25 19:33,2015-3-25 19:33,II道
G554,2015-03-25,英德西,2015-3-25 19:48,2015-3-25 19:48,2015-3-25 19:46,2015-3-25 19:46,II道
G66,2015-03-25,英德西,2015-3-25 19:53,2015-3-25 19:53,2015-3-25 19:53,2015-3-25 19:53,II道
G542,2015-03-25,英德西,2015-3-25 20:19,2015-3-25 20:19,2015-3-25 20:21,2015-3-25 20:21,II道
G6106,2015-03-25,英德西,2015-3-25 20:25,2015-3-25 20:25,2015-3-25 20:27,2015-3-25 20:27,II道
G70,2015-03-25,英德西,2015-3-25 21:15,2015-3-25 21:17,2015-3-25 21:16,2015-3-25 21:18,4道
G80,2015-03-25,英德西,2015-3-25 21:28,2015-3-25 21:28,2015-3-25 21:26,2015-3-25 21:26,II道
G1008,2015-03-25,英德西,2015-3-25 21:31,2015-3-25 21:31,2015-3-25 21:33,2015-3-25 21:33,II道
G1108,2015-03-26,英德西,2015-3-26 7:19,2015-3-26 7:19,2015-3-26 7:20,2015-3-26 7:20,II道
G1120,2015-03-26,英德西,2015-3-26 7:25,2015-3-26 7:25,2015-3-26 7:26,2015-3-26 7:26,II道
G836,2015-03-26,英德西,2015-3-26 7:30,2015-3-26 7:30,2015-3-26 7:33,2015-3-26 7:33,II道
G1002,2015-03-26,英德西,2015-3-26 7:39,2015-3-26 7:39,2015-3-26 7:39,2015-3-26 7:39,II道
G1132,2015-03-26,英德西,2015-3-26 7:50,2015-3-26 7:50,2015-3-26 7:51,2015-3-26 7:51,II道
G94,2015-03-26,英德西,2015-3-26 7:55,2015-3-26 7:55,2015-3-26 7:56,2015-3-26 7:56,II道
G1118,2015-03-26,英德西,2015-3-26 8:03,2015-3-26 8:03,2015-3-26 8:06,2015-3-26 8:06,II道
G546,2015-03-26,英德西,2015-3-26 8:11,2015-3-26 8:11,2015-3-26 8:13,2015-3-26 8:13,II道
G1136,2015-03-26,英德西,2015-3-26 8:15,2015-3-26 8:15,2015-3-26 8:19,2015-3-26 8:19,II道
G74,2015-03-26,英德西,2015-3-26 8:24,2015-3-26 8:24,2015-3-26 8:26,2015-3-26 8:26,II道
G6002,2015-03-26,英德西,2015-3-26 8:32,2015-3-26 8:32,2015-3-26 8:33,2015-3-26 8:33,II道
G548,2015-03-26,英德西,2015-3-26 8:39,2015-3-26 8:39,2015-3-26 8:38,2015-3-26 8:38,II道
G6116,2015-03-26,英德西,2015-3-26 8:51,2015-3-26 8:51,2015-3-26 8:51,2015-3-26 8:51,II道
G818,2015-03-26,英德西,2015-3-26 9:08,2015-3-26 9:08,2015-3-26 9:04,2015-3-26 9:04,II道
G1106,2015-03-26,英德西,2015-3-26 9:11,2015-3-26 9:11,2015-3-26 9:08,2015-3-26 9:08,II道
G6022,2015-03-26,英德西,2015-3-26 9:18,2015-3-26 9:19,2015-3-26 9:17,2015-3-26 9:19,4道
G1306,2015-03-26,英德西,2015-3-26 9:33,2015-3-26 9:33,2015-3-26 9:28,2015-3-26 9:28,II道
G1104,2015-03-26,英德西,2015-3-26 9:37,2015-3-26 9:37,2015-3-26 9:34,2015-3-26 9:34,II道
G76,2015-03-26,英德西,2015-3-26 9:41,2015-3-26 9:41,2015-3-26 9:40,2015-3-26 9:40,II道
G632,2015-03-26,英德西,2015-3-26 9:46,2015-3-26 9:46,2015-3-26 9:48,2015-3-26 9:48,II道
G1406,2015-03-26,英德西,2015-3-26 9:55,2015-3-26 9:56,2015-3-26 9:56,2015-3-26 9:58,4道
G532,2015-03-26,英德西,2015-3-26 10:04,2015-3-26 10:04,2015-3-26 10:06,2015-3-26 10:06,II道
G6118,2015-03-26,英德西,2015-3-26 10:10,2015-3-26 10:10,2015-3-26 10:12,2015-3-26 10:12,II道
G832,2015-03-26,英德西,2015-3-26 10:21,2015-3-26 10:22,2015-3-26 10:22,2015-3-26 10:24,4道
G1404,2015-03-26,英德西,2015-3-26 10:33,2015-3-26 10:33,2015-3-26 10:33,2015-3-26 10:33,II道
G552,2015-03-26,英德西,2015-3-26 10:37,2015-3-26 10:37,2015-3-26 10:38,2015-3-26 10:38,II道
G276,2015-03-26,英德西,2015-3-26 10:45,2015-3-26 10:45,2015-3-26 10:45,2015-3-26 10:45,II道
G1110,2015-03-26,英德西,2015-3-26 10:52,2015-3-26 10:54,2015-3-26 10:52,2015-3-26 10:54,4道
G1032,2015-03-26,英德西,2015-3-26 11:01,2015-3-26 11:01,2015-3-26 11:03,2015-3-26 11:03,II道
G6122,2015-03-26,英德西,2015-3-26 11:05,2015-3-26 11:05,2015-3-26 11:08,2015-3-26 11:08,II道
G544,2015-03-26,英德西,2015-3-26 11:23,2015-3-26 11:23,2015-3-26 11:13,2015-3-26 11:13,II道
G1018,2015-03-26,英德西,2015-3-26 11:27,2015-3-26 11:27,2015-3-26 11:25,2015-3-26 11:25,II道
G1014,2015-03-26,英德西,2015-3-26 11:30,2015-3-26 11:30,2015-3-26 11:30,2015-3-26 11:30,II道
G636,2015-03-26,英德西,2015-3-26 11:40,2015-3-26 11:41,2015-3-26 11:38,2015-3-26 11:40,4道
G6012,2015-03-26,英德西,2015-3-26 11:47,2015-3-26 11:47,2015-3-26 11:48,2015-3-26 11:48,II道
G6026,2015-03-26,英德西,2015-3-26 11:56,2015-3-26 11:56,2015-3-26 11:56,2015-3-26 11:56,II道
G1128,2015-03-26,英德西,2015-3-26 12:01,2015-3-26 12:01,2015-3-26 12:03,2015-3-26 12:03,II道
G6014,2015-03-26,英德西,2015-3-26 12:21,2015-3-26 12:21,2015-3-26 12:21,2015-3-26 12:21,II道
G682,2015-03-26,英德西,2015-3-26 12:26,2015-3-26 12:26,2015-3-26 12:27,2015-3-26 12:27,II道
G638,2015-03-26,英德西,2015-3-26 12:31,2015-3-26 12:31,2015-3-26 12:33,2015-3-26 12:33,II道
G826,2015-03-26,英德西,2015-3-26 12:41,2015-3-26 12:43,2015-3-26 12:41,2015-3-26 12:43,4道
G86,2015-03-26,英德西,2015-3-26 12:51,2015-3-26 12:51,2015-3-26 12:50,2015-3-26 12:50,II道
G1126,2015-03-26,英德西,2015-3-26 12:58,2015-3-26 12:58,2015-3-26 12:57,2015-3-26 12:57,II道
G1130,2015-03-26,英德西,2015-3-26 13:01,2015-3-26 13:01,2015-3-26 13:03,2015-3-26 13:03,II道
G1114,2015-03-26,英德西,2015-3-26 13:15,2015-3-26 13:15,2015-3-26 13:15,2015-3-26 13:15,II道
G1006,2015-03-26,英德西,2015-3-26 13:21,2015-3-26 13:21,2015-3-26 13:23,2015-3-26 13:23,II道
